pkey,con_id,owner,object_name,object_type
dms-test_2024-06-13075655,1,mockschema,countries,TABLE
dms-test_2024-06-13075655,1,mockschema,countries_demo,TABLE
dms-test_2024-06-13075655,1,mockschema,country_c_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,country_c_id_pk_demo,INDEX
dms-test_2024-06-13075655,1,mockschema,departments,TABLE
dms-test_2024-06-13075655,1,mockschema,departments_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,dept_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,dept_location_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,dest_tab,TABLE
dms-test_2024-06-13075655,1,mockschema,dest_tab_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,emp_department_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,emp_details_view,VIEW
dms-test_2024-06-13075655,1,mockschema,emp_email_uk,INDEX
dms-test_2024-06-13075655,1,mockschema,emp_emp_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,emp_job_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,emp_manager_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,emp_name_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,employees,TABLE
dms-test_2024-06-13075655,1,mockschema,employees_bkp,TABLE
dms-test_2024-06-13075655,1,mockschema,employees_bkp_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,employees_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,jhist_department_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,jhist_emp_id_st_date_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,jhist_employee_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,jhist_job_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,job_history,TABLE
dms-test_2024-06-13075655,1,mockschema,job_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,jobs,TABLE
dms-test_2024-06-13075655,1,mockschema,loc_city_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,loc_country_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,loc_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,loc_state_province_ix,INDEX
dms-test_2024-06-13075655,1,mockschema,locations,TABLE
dms-test_2024-06-13075655,1,mockschema,locations_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,logging_table,TABLE
dms-test_2024-06-13075655,1,mockschema,logging_table_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,mockschema_dest_tab_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,mockschema_employees_bkp_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,mockschema_logging_table_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,mockschema_sample_number_data_type_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,mockschema_tbl_test_functional_index_1_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,mockschema_tbl_test_functional_index_2_pk_rowid,INDEX
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,VIEW
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,VIEW
dms-test_2024-06-13075655,1,mockschema,reg_id_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,regions,TABLE
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,TABLE
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,source_tab,TABLE
dms-test_2024-06-13075655,1,mockschema,source_tab_pk,INDEX
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1,TABLE
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,TABLE
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2_rowid_seq,SEQUENCE
dms-test_2024-06-13075655,1,mockschema,vw_listagg,VIEW
dms-test_2024-06-13075655,1,mockschema,vw_listagg_overflow,VIEW
dms-test_2024-06-13075655,1,samet,samet_test_pk_rowid,INDEX
dms-test_2024-06-13075655,1,samet,test,TABLE
dms-test_2024-06-13075655,1,samet,test_rowid_seq,SEQUENCE
