PKEY|CON_ID|OWNER|TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DMA_SOURCE_ID|DMA_MANUAL_ID
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRIES_DEMO|COUNTRY_ID|CHAR|2|||N|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRIES_DEMO|COUNTRY_NAME|VARCHAR2|40|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRIES_DEMO|CURRENCY_NAME|VARCHAR2|25|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRIES_DEMO|CURRENCY_SYMBOL|VARCHAR2|3|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRIES_DEMO|REGION|VARCHAR2|15|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_TABLE_FUNCTION_ORACLE|MY_STRING|UNDEFINED|0|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_PIVOT_1|NOC|CHAR|3|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_PIVOT_1|GOLD|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_PIVOT_1|SILVER|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|VW_PIVOT_1|BRONZE|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|SAMET|TEST|A|NUMBER|22||0|Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|HOURS|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|DAYS|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|MONTHS|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|YEARS|NUMBER|22|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|Original Date|TIMESTAMP(9)|11||9|Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|Day-Month-Year|VARCHAR2|10|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|Time in 24-hr format|VARCHAR2|5|||Y|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|ORACLE_TO_CHAR_DATE|ISO Year and Week of Year|VARCHAR2|7|||Y|instance-1_nok19orcl_729121870|'NA'
