PKEY|CON_ID|OWNER|INDEX_NAME|INDEX_TYPE|TABLE_OWNER|TABLE_NAME|UNIQUENESS|STATUS|NUM_ROWS|DMA_SOURCE_ID|DMA_MANUAL_ID
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRY_C_ID_PK|IOT - TOP|MOCKSCHEMA|COUNTRIES|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|COUNTRY_C_ID_PK_DEMO|IOT - TOP|MOCKSCHEMA|COUNTRIES_DEMO|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPT_LOCATION_IX|NORMAL|MOCKSCHEMA|DEPARTMENTS|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPT_ID_PK|NORMAL|MOCKSCHEMA|DEPARTMENTS|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_MANAGER_IX|NORMAL|MOCKSCHEMA|EMPLOYEES|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_NAME_IX|NORMAL|MOCKSCHEMA|EMPLOYEES|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_JOB_IX|NORMAL|MOCKSCHEMA|EMPLOYEES|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_DEPARTMENT_IX|NORMAL|MOCKSCHEMA|EMPLOYEES|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_EMP_ID_PK|NORMAL|MOCKSCHEMA|EMPLOYEES|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|EMP_EMAIL_UK|NORMAL|MOCKSCHEMA|EMPLOYEES|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_ID_PK|NORMAL|MOCKSCHEMA|JOBS|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JHIST_EMPLOYEE_IX|NORMAL|MOCKSCHEMA|JOB_HISTORY|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JHIST_JOB_IX|NORMAL|MOCKSCHEMA|JOB_HISTORY|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JHIST_DEPARTMENT_IX|NORMAL|MOCKSCHEMA|JOB_HISTORY|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JHIST_EMP_ID_ST_DATE_PK|NORMAL|MOCKSCHEMA|JOB_HISTORY|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOC_COUNTRY_IX|NORMAL|MOCKSCHEMA|LOCATIONS|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOC_CITY_IX|NORMAL|MOCKSCHEMA|LOCATIONS|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOC_STATE_PROVINCE_IX|NORMAL|MOCKSCHEMA|LOCATIONS|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOC_ID_PK|NORMAL|MOCKSCHEMA|LOCATIONS|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|REG_ID_PK|NORMAL|MOCKSCHEMA|REGIONS|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB_PK|NORMAL|MOCKSCHEMA|SOURCE_TAB|UNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SYS_IL0000077089C00017$$|LOB|MOCKSCHEMA|TBL_DATA_TYPE_TEST|UNIQUE|VALID||instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SYS_IL0000077089C00005$$|LOB|MOCKSCHEMA|TBL_DATA_TYPE_TEST|UNIQUE|VALID||instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|IDX_TEST_FUNCTIONAL_INDEX_1|FUNCTION-BASED NORMAL|MOCKSCHEMA|TBL_TEST_FUNCTIONAL_INDEX_1|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|IDX_TEST_FUNCTIONAL_INDEX_2|FUNCTION-BASED NORMAL|MOCKSCHEMA|TBL_TEST_FUNCTIONAL_INDEX_2|NONUNIQUE|VALID|0|instance-1_nok19orcl_729121870|'NA'
