PKEY|CON_ID|OWNER|TABLE_NAME|CONSTRAINT_TYPE|CONSTRAINT_NAME|STATUS
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPARTMENTS|R|DEPT_LOC_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPARTMENTS|R|DEPT_MGR_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPARTMENTS|C|DEPT_NAME_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|DEPARTMENTS|P|DEPT_ID_PK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|REGIONS|C|REGION_ID_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|REGIONS|P|REG_ID_PK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|R|JHIST_DEPT_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|R|JHIST_EMP_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|R|JHIST_JOB_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|C|JHIST_EMPLOYEE_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|C|JHIST_START_DATE_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|C|JHIST_END_DATE_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|C|JHIST_JOB_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|C|JHIST_DATE_INTERVAL|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|JOB_HISTORY|P|JHIST_EMP_ID_ST_DATE_PK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOCATIONS|R|LOC_C_ID_FK|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|LOCATIONS|C|LOC_CITY_NN|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|C|SYS_C0010016|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|C|SYS_C0010017|ENABLED
instance-1_NOK19ORC_061324082624|3|MOCKSCHEMA|SOURCE_TAB|C|SYS_C0010018|ENABLED
