pkey,con_id,owner,table_name,column_name,data_type,data_length,data_precision,data_scale,nullable,dma_source_id,dma_manual_id
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,SALARY,NUMERIC,,8,2,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL2_NUMBER_DECIMAL,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL3_NUMBER_HIGH_DECIMAL,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL4,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL5,BIGINT,,64,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL6,NUMERIC,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL7,NUMERIC,,12,2,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL8,NUMERIC,,24,5,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,COL9,NUMERIC,,32,10,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES_BKP,EMPLOYEE_ID,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES_BKP,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,CODE,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB,OBJECT_ID,NUMERIC,,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,REGIONS,REGION_ID,NUMERIC,,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,EMPLOYEE_ID,INTEGER,,32,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,HIRE_DATE,TIMESTAMP WITHOUT TIME ZONE,,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,SALARY,NUMERIC,,8,2,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,COMMISSION_PCT,NUMERIC,,2,2,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,MANAGER_ID,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,DEPARTMENT_ID,SMALLINT,,16,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_1,COL_1,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_1,COL_2,TIMESTAMP WITHOUT TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_1,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOBS,MIN_SALARY,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOBS,MAX_SALARY,INTEGER,,32,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEST_TAB,OBJECT_ID,NUMERIC,,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEST_TAB,ROWID,BIGINT,,64,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES,REGION_ID,NUMERIC,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_HISTORY,EMPLOYEE_ID,INTEGER,,32,0,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_HISTORY,START_DATE,TIMESTAMP WITHOUT TIME ZONE,,,,NO,Postgres,
